entry,at,order
"The player ""elon @ 1fyB22Fjqp"" stand up with the stack of 491.00.",2022-09-08T03:42:59.053Z,166260857905302
"The player ""VAR @ a6uEwHQrRM"" stand up with the stack of 1127.23.",2022-09-08T03:42:59.053Z,166260857905301
"The player ""Poopy 2 @ fSzO7iXX-b"" stand up with the stack of 1425.49.",2022-09-08T03:42:59.053Z,166260857905300
"""Poopy 2 @ fSzO7iXX-b"" shows a 7♣, K♣, 3♥, K♥.",2022-09-08T03:42:57.251Z,166260857725100
"-- ending hand #319 --",2022-09-08T03:42:52.317Z,166260857231702
"""Poopy 2 @ fSzO7iXX-b"" collected 3.75 from pot",2022-09-08T03:42:52.317Z,166260857231701
"Uncalled bet of 3.75 returned to ""Poopy 2 @ fSzO7iXX-b""",2022-09-08T03:42:52.317Z,166260857231700
"""elon @ 1fyB22Fjqp"" folds",2022-09-08T03:42:51.461Z,166260857146100
"""VAR @ a6uEwHQrRM"" folds",2022-09-08T03:42:48.843Z,166260856884300
"""Poopy 2 @ fSzO7iXX-b"" raises to 5.25",2022-09-08T03:42:46.298Z,166260856629800
"""elon @ 1fyB22Fjqp"" posts a big blind of 1.50",2022-09-08T03:42:41.510Z,166260856151006
"""VAR @ a6uEwHQrRM"" posts a small blind of 0.75",2022-09-08T03:42:41.510Z,166260856151005
"Player stacks: #1 ""VAR @ a6uEwHQrRM"" (1127.98) | #3 ""elon @ 1fyB22Fjqp"" (492.50) | #4 ""Poopy 2 @ fSzO7iXX-b"" (1423.24)",2022-09-08T03:42:41.510Z,166260856151001
"-- starting hand #319  (Pot Limit Omaha Hi) (dealer: ""Poopy 2 @ fSzO7iXX-b"") --",2022-09-08T03:42:41.510Z,166260856151000
"-- ending hand #318 --",2022-09-08T03:42:35.447Z,166260855544703
"""Poopy 2 @ fSzO7iXX-b"" shows a 5♥, 3♣, 7♥, A♣.",2022-09-08T03:42:35.447Z,166260855544702
"""elon @ 1fyB22Fjqp"" collected 12.00 from pot with One Pair (combination: 8♣, 8♦, A♦, K♣, 10♠)",2022-09-08T03:42:35.447Z,166260855544701
"""elon @ 1fyB22Fjqp"" shows a 4♥, A♦, Q♠, 8♣.",2022-09-08T03:42:35.447Z,166260855544700
"""elon @ 1fyB22Fjqp"" checks",2022-09-08T03:42:34.549Z,166260855454900
